----------------------------------------------------------------------------------------------------
loss                 | architecture | batch_size | seq_len    | hidden_size  | dropout  | num_layers | iter  | total_time
0.01979798451066017  | GRU          | 256        | 40      | 96          | 0.26468513201166327 | 1          | 393  | 475.0398919582367
0.02167978510260582  | LSTM         | 256        | 72      | 40          | 0.011207564113532955 | 1          | 199  | 363.6583139896393
0.022244973108172417 | GRU          | 256        | 32      | 88          | 0.0164112763830862  | 1          | 244  | 314.2769138813019
0.022301165387034416 | GRU          | 128        | 88      | 96          | 0.12356035029771498 | 1          | 403  | 724.7830049991608
0.022847803309559822 | GRU          | 128        | 56      | 112         | 0.02499358335035605 | 1          | 372  | 617.9653768539429
0.022916845977306366 | GRU          | 256        | 168     | 96          | 0.054899821257166664 | 1          | 401  | 571.468453168869
0.022933049127459526 | LSTM         | 256        | 144     | 80          | 0.11192139746013302 | 1          | 439  | 1291.3617448806763
0.023912964388728142 | GRU          | 256        | 120     | 80          | 0.010488904726450993 | 1          | 363  | 518.7947723865509
0.024160034954547882 | GRU          | 256        | 88      | 40          | 0.19811698749592205 | 1          | 306  | 373.75734543800354
0.024499952793121338 | LSTM         | 256        | 96      | 128         | 0.025722734584558496 | 1          | 366  | 517.2192430496216
0.024615207687020302 | GRU          | 128        | 160     | 120         | 0.01850259048727338 | 1          | 276  | 957.647438287735
0.024989472702145576 | TCN          | 128        | 96      | 96          | 0.32791432787785835 | 2          | 294  | 825.1661150455475
0.025067565962672234 | GRU          | 256        | 152     | 96          | 0.16577130958994316 | 1          | 594  | 827.8570032119751
0.025465309619903564 | LSTM         | 256        | 192     | 120         | 0.39116927350924724 | 1          | 386  | 952.9941437244415
0.026187045499682426 | GRU          | 256        | 56      | 96          | 0.03491001605929323 | 2          | 324  | 508.4890079498291
0.026295848190784454 | LSTM         | 256        | 88      | 120         | 0.012304901593147292 | 1          | 297  | 435.7025213241577
0.0268417838960886   | GRU          | 256        | 120     | 48          | 0.02404367790408598 | 1          | 204  | 264.93096232414246
0.027638614177703857 | LSTM         | 128        | 32      | 80          | 0.2438974381553201  | 1          | 366  | 593.2753655910492
0.02773975022137165  | LSTM         | 256        | 120     | 88          | 0.13993695145694857 | 1          | 475  | 898.7322256565094
0.028576232492923737 | LSTM         | 256        | 80      | 40          | 0.012913568072652759 | 2          | 433  | 684.272481918335
0.028661007061600685 | GRU          | 256        | 104     | 40          | 0.04179680520342669 | 2          | 205  | 322.5908992290497
0.029054967686533928 | GRU          | 256        | 120     | 48          | 0.013961144704400493 | 2          | 492  | 814.925975561142
0.02965293452143669  | GRU          | 128        | 32      | 128         | 0.018398488846205926 | 1          | 296  | 512.6631505489349
0.029767844825983047 | LSTM         | 256        | 48      | 48          | 0.1747376901146989  | 2          | 503  | 670.5797193050385
0.030837317928671837 | GRU          | 128        | 96      | 56          | 0.07899498309246726 | 1          | 200  | 795.5511322021484
0.03149200975894928  | LSTM         | 256        | 88      | 96          | 0.3661403961980179  | 2          | 345  | 628.0146672725677
0.03246547281742096  | LSTM         | 256        | 144     | 80          | 0.04411783247638839 | 2          | 314  | 798.1180436611176
0.03287545219063759  | GRU          | 128        | 176     | 104         | 0.023726961806277237 | 1          | 435  | 943.7344403266907
0.03376723825931549  | TCN          | 128        | 128     | 88          | 0.01877194139137395 | 2          | 224  | 587.694678068161
0.034395597875118256 | TCN          | 128        | 56      | 88          | 0.030098720522504924 | 1          | 336  | 970.3853855133057
0.034993965178728104 | GRU          | 128        | 32      | 48          | 0.012484818011624462 | 2          | 206  | 512.6105709075928
0.03658105805516243  | GRU          | 128        | 104     | 104         | 0.0592245621614674  | 2          | 295  | 716.2429239749908
0.039692360907793045 | LSTM         | 128        | 64      | 80          | 0.021840670806958146 | 2          | 378  | 925.2109570503235
0.03973843902349472  | GRU          | 128        | 56      | 40          | 0.048360764386846875 | 2          | 131  | 301.6977233886719
0.042133133858442307 | LSTM         | 128        | 120     | 96          | 0.18275539204343647 | 1          | 386  | 904.5044569969177
0.04402758553624153  | GRU          | 128        | 112     | 104         | 0.029034302092020174 | 2          | 303  | 691.915549993515
0.04410666972398758  | TCN          | 128        | 128     | 64          | 0.06632470857556798 | 2          | 332  | 888.3561859130859
0.04431263357400894  | GRU          | 128        | 144     | 40          | 0.04637386896243984 | 2          | 228  | 541.6847207546234
0.04452746361494064  | TCN          | 128        | 40      | 48          | 0.20149917270668585 | 1          | 254  | 573.7497642040253
0.04814484715461731  | GRU          | 128        | 64      | 72          | 0.01199505029265648 | 2          | 209  | 485.4832298755646
0.049565743654966354 | TCN          | 256        | 16      | 56          | 0.31720797103692366 | 2          | 246  | 330.33558344841003
0.05029584839940071  | TCN          | 256        | 32      | 112         | 0.03877640849352028 | 2          | 288  | 375.4565031528473
0.0522615946829319   | GRU          | 128        | 160     | 88          | 0.04932413919728794 | 2          | 271  | 601.588746547699
0.05234476178884506  | GRU          | 128        | 72      | 64          | 0.03309323447130681 | 2          | 211  | 504.8485288619995
0.05679325386881828  | GRU          | 256        | 152     | 48          | 0.045990136224122694 | 2          | 378  | 516.7328081130981
0.05873329937458038  | TCN          | 256        | 24      | 96          | 0.2505237676648999  | 1          | 398  | 458.97886896133423
0.06323134899139404  | TCN          | 128        | 112     | 72          | 0.041936509638837216 | 2          | 192  | 593.6677782535553
0.06843405961990356  | TCN          | 256        | 72      | 64          | 0.1604939795731967  | 2          | 386  | 805.1069414615631
0.06996969133615494  | GRU          | 128        | 168     | 32          | 0.09756517268847636 | 1          | 238  | 439.06453371047974
